address,group,name,fields_address,fields_count,fields
0x180148A70,default,EtCTWorkSpaceAppCTWorkSpaceKocrtoolPic2Xls,0x180148A40,1,filter:bool
0x1801477B0,default,EtCTWorkSpaceAppCTWorkSpaceYunyidocfix,0x180147798,1,filter:bool
0x180169650,default,EtCTWorkSpaceAppEttoolbox,0x180169618,1,filter:bool
0x1801A92C0,default,EtCTWorkSpaceAppGroupsendList,0x1801A9270,1,filter:bool
0x180154B70,default,EtCTWorkSpaceAppKapowerWorkspace,0x180154B58,1,filter:bool
0x1801310A0,default,EtCTWorkSpaceAppKbatchconvertfile,0x180131058,1,filter:bool
0x180142D28,default,EtCTWorkSpaceAppKbatchprocessBatchtoolboxMenu,0x180142D10,1,filter:bool
0x180197C90,default,EtCTWorkSpaceAppKdatarecoverWorkspacesecpanel,0x180197C78,1,filter:bool
0x180145CF8,default,EtCTWorkSpaceAppKfindreplaceallfileMenu,0x180145CE0,1,filter:bool
0x180171AF0,default,EtCTWorkSpaceAppKgroupsendingassistWorkspace,0x180171AB0,1,filter:bool
0x1801242B0,default,EtCTWorkSpaceAppKgroupsendv2Workspace,0x180124270,1,filter:bool
0x180182640,default,EtCTWorkSpaceAppKpdf2wordv2Workspacesecpanel2excelTypetransfer,0x180182550,1,filter:bool
0x1801BCEA0,default,EtCTWorkSpaceAppKpdf2wordv2Workspacesecpanel2pptTypetransfer,0x1801BCE70,1,filter:bool
0x180165320,default,EtCTWorkSpaceAppKpdf2wordv2Workspacesecpanel2wordTypetransfer,0x1801652F0,1,filter:bool
0x1801782D0,default,EtCTWorkSpaceAppKsplitmergeWorkspacesecpanelMergeTypetransfer,0x180178280,1,filter:bool
0x1801B1C60,default,EtCTWorkSpaceAppKsplitmergeWorkspacesecpanelSplitTypetransfer,0x1801B1C48,1,filter:bool
0x1801CAF80,default,EtCTWorkSpaceAppOcrMenu,0x1801CAF30,1,filter:bool
0x180185750,default,EtCTWorkSpaceAppPhotonewbatchappClippingBatchtoolmenu,0x180185700,1,filter:bool
